node,degree
Água Fria,51
Linha do Tiro,20
Beberibe,14
Porto da Madeira,19
Fundão,21
Cajueiro,15
Arruda,30
Encruzilhada,43
Ponto de Parada,21
Graças,36
Torre,14
Derby,12
Madalena,33
Santana,5
Ilha do Retiro,13
Ilha Joana Bezerra,5
Boa Viagem,21
Pina,18
Cordeiro,41
Iputinga,22
Brejo de Beberibe,32
Passarinho,24
Areias,23
Caçote,6
Caxangá,6
Várzea,16
Zumbi,17
Ibura,23
Jordão,18
Afogados,39
São José,20
Jiquiá,23
Mangueira,13
Jardim São Paulo,28
Tejipió,21
Barro,13
Curado,36
Estância,23
Coqueiral,13
Dois Unidos,23
Boa Vista,49
Soledade,19
Tamarineira,26
Aflitos,13
Espinheiro,22
Jaqueira,14
Bongi,28
San Martin,33
Mustardinha,27
Campo Grande,26
Peixinhos,8
Guabiraba,9
Dois Irmãos,8
Córrego do Jenipapo,16
Brejo da Guabiraba,21
Apipucos,19
Santo Antônio,15
Imbiribeira,22
Casa Forte,13
Parnamirim,21
Alto do Mandu,14
Monteiro,17
Casa Amarela,35
Prado,34
Torrões,30
Rosarinho,24
Cabanga,6
Santo Amaro,24
Torreão,14
Paissandu,13
Ilha do Leite,14
Totó,13
Sancho,9
Vasco da Gama,26
Alto José do Pinho,18
Morro da Conceição,11
Mangabeira,20
Nova Descoberta,42
Macaxeira,32
Campina do Barreto,18
Cidade Universitária,18
Ipsep,8
Engenho do Meio,15
Brasília Teimosa,8
Hipódromo,15
Bomba do Hemetério,24
Alto José Bonifácio,17
Coelhos,9
